iter	RMSE
0	14.66501863
1	14.25974197
2	13.89999416
3	13.59843386
4	13.32836408
5	13.09680627
6	12.87750786
7	12.70211287
8	12.53725578
9	12.38912164
10	12.2516065
11	12.12722502
12	12.03703166
13	11.94328972
14	11.8623804
15	11.78419862
16	11.73924088
17	11.67462352
18	11.60783107
19	11.55255721
20	11.51205743
21	11.46709515
22	11.41509895
23	11.3618938
24	11.32743871
25	11.29634352
26	11.2646459
27	11.22385213
28	11.20280742
29	11.17483488
30	11.13912725
31	11.11924566
32	11.10381711
33	11.07976917
34	11.05703312
35	11.03533888
36	11.0281076
37	11.01827758
38	11.00535469
39	10.99080124
40	10.95998348
41	10.95090858
42	10.93271548
43	10.90469574
44	10.88013894
45	10.86074744
46	10.84507797
47	10.83028183
48	10.81764589
49	10.80582226
50	10.76835045
51	10.74918531
52	10.73572666
53	10.72544783
54	10.71106195
55	10.70126527
56	10.68634747
57	10.68399553
58	10.67570163
59	10.66208921
60	10.65184043
61	10.64242807
62	10.62925152
63	10.62299512
64	10.6149169
65	10.60166112
66	10.58291749
67	10.57797042
68	10.56948117
69	10.55983331
70	10.5536945
71	10.55137548
72	10.53077604
73	10.52011803
74	10.50475521
75	10.49466884
76	10.48896635
77	10.48417124
78	10.47425249
79	10.46700023
80	10.44228741
81	10.43054658
82	10.41682145
83	10.40684461
84	10.38507011
85	10.37259535
86	10.36727256
87	10.34187117
88	10.31640007
89	10.295183
90	10.28618978
91	10.25986108
92	10.22724642
93	10.20703954
94	10.19879882
95	10.18309692
96	10.1814767
97	10.16329366
98	10.15652619
99	10.13625397
100	10.126301
101	10.11097556
102	10.10567609
103	10.09687406
104	10.08204185
105	10.05857738
106	10.04353359
107	10.02884633
108	10.01552356
109	10.01520324
110	9.994849334
111	9.989208289
112	9.979969046
113	9.96405666
114	9.951892475
115	9.946852414
116	9.922191879
117	9.913142065
118	9.904697222
119	9.895990568
120	9.895820521
121	9.884321439
122	9.874333632
123	9.854156797
124	9.838795556
125	9.838364664
126	9.824967034
127	9.815488913
128	9.813104375
129	9.806885267
130	9.786517263
131	9.785762102
132	9.773806302
133	9.760208884
134	9.752695567
135	9.745984982
136	9.741050165
137	9.737727918
138	9.737471107
139	9.734498318
140	9.723299691
141	9.705825126
142	9.701813908
143	9.694997251
144	9.69300479
145	9.683061543
146	9.674857379
147	9.67469617
148	9.666974355
149	9.666675848
150	9.665823356
151	9.658752265
152	9.654746044
153	9.651884799
154	9.639435088
155	9.621928108
156	9.621556658
157	9.610502055
158	9.605273359
159	9.605164838
160	9.593644241
161	9.588927098
162	9.584853542
163	9.583190935
164	9.573465561
165	9.562576719
166	9.559829118
167	9.549232447
168	9.546601573
169	9.543926067
170	9.543798616
171	9.530193878
172	9.525566666
173	9.520060895
174	9.504314472
175	9.503874477
176	9.501205585
177	9.49164421
178	9.481701629
179	9.480012327
180	9.477712342
181	9.469564612
182	9.456867094
183	9.456021565
184	9.44947613
185	9.449180247
186	9.43842182
187	9.422057
188	9.417608587
189	9.413862055
190	9.407386615
191	9.391520396
192	9.387211511
193	9.380241676
194	9.378627629
195	9.376824047
196	9.370242149
197	9.3644894
198	9.360953631
199	9.357138575
200	9.352530648
201	9.349911084
202	9.349092484
203	9.348677383
204	9.345144335
205	9.344734318
206	9.341461912
207	9.332151463
208	9.33089231
209	9.321505682
210	9.317347994
211	9.316794915
212	9.309546935
213	9.307004239
214	9.292154086
215	9.285993402
216	9.279459655
217	9.26876277
218	9.266653839
219	9.264476913
220	9.259631281
221	9.253579528
222	9.247946481
223	9.245672389
224	9.235171238
225	9.226457278
226	9.221421231
227	9.218485622
228	9.217129265
229	9.216370875
230	9.213618189
231	9.207056352
232	9.200895069
233	9.194822923
234	9.191197292
235	9.183201321
236	9.181528468
237	9.175694168
238	9.170869707
239	9.169249138
240	9.164276686
241	9.150522572
242	9.144079232
243	9.139927546
244	9.139574463
245	9.135189216
246	9.131538575
247	9.124962709
248	9.12095263
249	9.11172252
250	9.107999021
251	9.101269984
252	9.098688266
253	9.097649975
254	9.09618407
255	9.093041974
256	9.089061975
257	9.085928583
258	9.084936915
259	9.083062847
260	9.080358857
261	9.075756463
262	9.064282736
263	9.062526655
264	9.058915129
265	9.050771822
266	9.045784156
267	9.04076701
268	9.036713727
269	9.036274301
270	9.035869878
271	9.03244709
272	9.025433327
273	9.021961848
274	9.021902845
275	9.021084152
276	9.018559341
277	9.017454882
278	9.014250345
279	9.011599581
280	9.010855036
281	9.00760567
282	8.99863802
283	8.995776656
284	8.990752908
285	8.989389699
286	8.986421066
287	8.973355516
288	8.971241843
289	8.969771658
290	8.966986932
291	8.965209674
292	8.962718165
293	8.96098518
294	8.960622504
295	8.955851484
296	8.955598381
297	8.953746436
298	8.95062969
299	8.943150941
300	8.939228803
301	8.93162191
302	8.92976317
303	8.928909919
304	8.928118353
305	8.920538433
306	8.91963247
307	8.913986207
308	8.908688578
309	8.902597761
310	8.900675739
311	8.898588988
312	8.893366038
313	8.892995188
314	8.892328387
315	8.892101669
316	8.889557158
317	8.888692649
318	8.886242013
319	8.882170257
320	8.881881348
321	8.874493564
322	8.870830963
323	8.867025899
324	8.861706573
325	8.858829789
326	8.85209778
327	8.846460308
328	8.845630621
329	8.844857722
330	8.840778055
331	8.838597728
332	8.833371756
333	8.825519201
334	8.820669136
335	8.818822039
336	8.816603443
337	8.813541491
338	8.810532715
339	8.810354508
340	8.803946026
341	8.803064103
342	8.801783672
343	8.796327284
344	8.790423023
345	8.778123266
346	8.775837096
347	8.774392717
348	8.768572823
349	8.765661881
350	8.765079918
351	8.761589799
352	8.76131583
353	8.759573681
354	8.756845288
355	8.750505041
356	8.750265369
357	8.746924158
358	8.741719631
359	8.740367533
360	8.734530805
361	8.728725955
362	8.725330276
363	8.723407906
364	8.722090774
365	8.718250829
366	8.716267871
367	8.715901426
368	8.713345103
369	8.710627705
370	8.706771798
371	8.706217919
372	8.70416515
373	8.703829856
374	8.701374667
375	8.699542987
376	8.696342437
377	8.693434453
378	8.690557465
379	8.686455737
380	8.685099068
381	8.680279097
382	8.675598979
383	8.675059748
384	8.668274818
385	8.667246475
386	8.66324221
387	8.661257007
388	8.656142148
389	8.651003044
390	8.649993777
391	8.645102511
392	8.643499958
393	8.642495296
394	8.641392688
395	8.638208209
396	8.637817522
397	8.632506773
398	8.63023407
399	8.628661215
400	8.625710382
401	8.624176101
402	8.620301381
403	8.616463067
404	8.60717892
405	8.606521093
406	8.602488373
407	8.601666896
408	8.596721611
409	8.594318087
410	8.592713726
411	8.586739518
412	8.583215542
413	8.578296868
414	8.568876916
415	8.564505797
416	8.561893633
417	8.561725331
418	8.559081311
419	8.557570429
420	8.556330345
421	8.554878548
422	8.554086774
423	8.551734216
424	8.550193586
425	8.549794249
426	8.548744823
