iter	Passed	Remaining
0	268	8051240
1	553	8303656
2	840	8408626
3	1121	8406587
4	1407	8445846
5	1692	8461375
6	1976	8470168
7	2254	8452113
8	2531	8437219
9	2816	8448125
10	3111	8482678
11	3388	8468302
12	3690	8511913
13	3986	8539446
14	4262	8519941
15	4540	8508560
16	4820	8502106
17	5109	8510950
18	5390	8506140
19	5668	8497107
20	5947	8490595
21	6221	8477556
22	6494	8464450
23	6776	8463439
24	7070	8477053
25	7341	8463165
26	7625	8465422
27	7897	8453643
28	8192	8466554
29	8461	8452635
30	8706	8417159
31	8991	8420893
32	9271	8418954
33	9545	8412804
34	9824	8411031
35	10102	8408629
36	10203	8262651
37	10489	8270750
38	10770	8274272
39	11042	8270639
40	11326	8276203
41	11617	8286789
42	11913	8299898
43	12203	8308506
44	12501	8322155
45	12790	8328614
46	13079	8335694
47	13361	8337817
48	13657	8348256
49	13965	8365510
50	14257	8372367
51	14544	8376294
52	14812	8369868
53	15114	8382021
54	15409	8389861
55	15728	8410163
56	16066	8440105
57	16248	8388340
58	16589	8418980
59	16894	8430315
60	17198	8440947
61	17492	8446832
62	17796	8456778
63	18087	8460449
64	18361	8456258
65	18655	8461020
66	18956	8468957
67	19298	8494569
68	19643	8520843
69	20048	8572208
70	20391	8595944
71	20698	8603510
72	21043	8626807
73	21348	8633612
74	21695	8656665
75	22044	8679650
76	22397	8703772
77	22733	8720827
78	23075	8739714
79	23470	8777908
80	23824	8800032
81	24148	8810507
82	24484	8825393
83	24824	8840996
84	25216	8874878
85	25566	8892862
86	25901	8905730
87	26236	8918017
88	26580	8933106
89	26922	8947117
90	27267	8962076
91	27614	8977156
92	28000	9004344
93	28330	9013394
94	28654	9020099
95	28995	9031966
96	29341	9045457
97	29682	9056836
98	30039	9072768
99	30379	9083497
100	30724	9095312
101	31076	9109126
102	31423	9120991
103	31768	9132233
104	32104	9140488
105	32438	9148194
106	32779	9157787
107	33127	9168844
108	33473	9179352
109	33735	9166979
110	34073	9174909
111	34419	9185082
112	34758	9193196
113	35104	9202919
114	35454	9213424
115	35790	9220337
116	36141	9230978
117	36490	9240876
118	36823	9246428
119	37165	9254240
120	37477	9254447
121	37812	9260247
122	38114	9258107
123	38457	9265876
124	38791	9271215
125	39138	9279659
126	39483	9287309
127	39842	9298238
128	40177	9303332
129	40504	9306643
130	40851	9314364
131	41198	9322156
132	41532	9326681
133	41880	9334249
134	42217	9339346
135	42563	9346367
136	42863	9343289
137	43216	9351644
138	43481	9341060
139	43826	9347581
140	44167	9353220
141	44502	9357506
142	44847	9363752
143	45220	9375711
144	45580	9384916
145	45918	9389435
146	46258	9394282
147	46535	9386384
148	46885	9393084
149	47192	9391391
150	47532	9395924
151	47869	9400135
152	48205	9403879
153	48518	9403177
154	48865	9408909
155	49205	9413296
156	49516	9412309
157	49861	9417428
158	50193	9420314
159	50628	9442247
160	50996	9451517
161	51303	9449364
162	51667	9457638
163	51988	9458025
164	52289	9454892
165	52606	9454606
166	52937	9456769
167	53242	9454286
168	53477	9439496
169	53791	9438796
170	54086	9434754
171	54408	9435520
172	54726	9435441
173	55031	9433129
174	55331	9430136
175	55605	9422681
176	55875	9414514
177	56175	9411612
178	56481	9409773
179	56794	9408943
180	57103	9407627
181	57405	9405029
182	57692	9400108
183	57992	9397261
184	58294	9394935
185	58568	9387944
186	58877	9386634
187	59180	9384546
188	59488	9383079
189	59788	9380557
190	60094	9378870
191	60388	9375250
192	60687	9372575
193	60985	9369747
194	61259	9363289
195	61534	9356946
196	61838	9355137
197	62147	9354122
198	62446	9351609
199	62747	9349386
200	63064	9349511
201	63325	9341421
202	63621	9338571
203	63894	9332301
204	64196	9330426
205	64464	9323596
206	64763	9321213
207	65055	9317931
208	65323	9311294
209	65618	9308405
210	65936	9308920
211	66194	9300955
212	66488	9298039
213	66823	9300923
214	67153	9303047
215	67489	9306028
216	67822	9308610
217	68152	9310586
218	68494	9314338
219	68817	9315385
220	69128	9314842
221	69424	9312270
222	69720	9309763
223	70037	9309990
224	70335	9307705
225	70634	9305673
226	70932	9303446
227	71228	9301004
228	71452	9289175
229	71749	9286907
230	72087	9289969
231	72350	9283323
232	72610	9276350
233	72913	9274949
234	73205	9272146
235	73504	9270289
236	73772	9264541
237	74082	9264016
238	74385	9262763
239	74682	9260689
240	74989	9259836
241	75276	9256517
242	75580	9255319
243	75884	9254160
244	76188	9253053
245	76501	9252946
246	76789	9249829
247	77089	9248310
248	77381	9245640
249	77671	9242851
250	77968	9240928
251	78280	9240876
252	78538	9234298
253	78827	9231508
254	79114	9228459
255	79454	9231674
256	79801	9235492
257	80142	9238773
258	80477	9241216
259	80764	9238253
260	81097	9240408
261	81444	9244223
262	81755	9244009
263	82020	9238469
264	82389	9244682
265	82620	9235490
266	82923	9234296
267	83190	9229206
268	83477	9226245
269	83746	9221430
270	84013	9216333
271	84317	9215438
272	84609	9213125
273	84908	9211653
274	85172	9206368
275	85439	9201442
276	85696	9195526
277	85970	9191421
278	86268	9189872
279	86550	9186707
280	86852	9185683
281	87155	9184729
282	87457	9183658
283	87719	9178450
284	88012	9176482
285	88320	9176082
286	88617	9174502
287	88900	9171557
288	89190	9169348
289	89500	9169218
290	89802	9168205
291	90106	9167360
292	90404	9166002
293	90709	9165410
294	90980	9161286
295	91284	9160545
296	91543	9155277
297	91803	9150189
298	92108	9149587
299	92398	9147423
300	92685	9145109
301	93014	9146844
302	93264	9140798
303	93535	9136966
304	93795	9131956
305	94094	9130825
306	94357	9126239
307	94660	9125530
308	94954	9123971
309	95252	9122689
310	95516	9118281
311	95828	9118459
312	96125	9117183
313	96386	9112469
314	96684	9111321
315	96949	9107089
316	97274	9108528
317	97544	9104749
318	97809	9100571
319	98106	9099401
320	98423	9100022
321	98741	9100752
322	99048	9100467
323	99350	9099735
324	99643	9098180
325	99911	9094420
326	100212	9093604
327	100511	9092568
328	100738	9085143
329	101041	9084577
330	101331	9082805
331	101620	9080983
332	101923	9080372
333	102219	9079137
334	102519	9078309
335	102779	9073973
336	103053	9070848
337	103359	9070532
338	103656	9069511
339	103885	9062500
340	104183	9061553
341	104475	9060045
342	104739	9056117
343	105039	9055369
344	105330	9053822
345	105614	9051723
346	105875	9047657
347	106142	9044092
348	106441	9043255
349	106695	9038614
350	106973	9036045
351	107271	9035191
352	107577	9034961
353	107842	9031336
354	108140	9030465
355	108428	9028799
356	108659	9022373
357	108966	9022319
358	109259	9021044
359	109567	9021084
360	109868	9020456
361	110164	9019526
362	110470	9019299
363	110768	9018497
364	111037	9015321
365	111349	9015666
366	111647	9014820
367	111868	9007808
368	112123	9003587
369	112417	9002523
370	112702	9000673
371	112976	8998056
372	113284	8998096
373	113513	8991864
374	113815	8991450
375	114109	8990405
376	114401	8989155
377	114695	8988155
378	115017	8989261
379	115348	8991137
380	115615	8987985
381	115917	8987519
382	116169	8983242
383	116436	8980156
384	116734	8979455
385	117040	8979376
386	117326	8977768
387	117592	8974611
388	117892	8974042
389	118183	8972859
390	118436	8968772
391	118736	8968260
392	118997	8964794
393	119306	8964957
394	119569	8961667
395	119879	8961917
396	120139	8958412
397	120405	8955385
398	120707	8955047
399	120973	8952012
400	121277	8951865
401	121585	8951929
402	121885	8951440
403	122174	8950203
404	122463	8948902
405	122725	8945691
406	123026	8945248
407	123331	8945165
408	123622	8944040
409	123929	8944117
410	124227	8943484
411	124526	8942953
412	124747	8936808
413	125056	8936982
414	125346	8935871
415	125644	8935233
416	125910	8932409
417	126174	8929421
418	126476	8929084
419	126770	8928285
420	127039	8925675
421	127329	8924541
422	127619	8923441
423	127850	8918164
424	128148	8917651
425	128419	8915218
426	128710	8914198
427	129010	8913760
428	129241	8908600
429	129510	8906081
430	129846	8908168
431	130146	8907821
432	130436	8906741
433	130725	8905615
434	130990	8902809
435	131280	8901774
436	131546	8899110
437	131850	8899036
438	132144	8898232
439	132437	8897393
440	132724	8896175
441	132989	8893467
442	133308	8894330
443	133603	8893662
444	133911	8893852
445	134214	8893699
446	134511	8893090
447	134796	8891762
448	135060	8889018
449	135365	8889016
450	135652	8887824
451	135917	8885168
452	136217	8884782
453	136527	8885140
454	136812	8883806
455	137121	8884058
456	137394	8881925
457	137694	8881591
458	137991	8881050
459	138292	8880787
460	138579	8879588
461	138865	8878401
462	139134	8876058
463	139444	8876346
464	139673	8871531
465	139991	8872365
466	140175	8864698
467	140486	8865057
468	140751	8862519
469	141061	8862876
470	141360	8862463
471	141666	8862568
472	141960	8861899
473	142225	8859378
474	142538	8859883
475	142851	8860401
476	143215	8864045
477	143504	8863049
478	143764	8860264
479	144067	8860139
480	144371	8860083
481	144625	8856945
482	144860	8852678
483	145163	8852552
484	145393	8848046
485	145705	8848468
486	145999	8847783
487	146292	8847101
488	146586	8846476
489	146901	8847083
490	147171	8844989
491	147477	8845043
492	147763	8843925
493	148067	8843890
494	148391	8845012
495	148705	8845600
496	149024	8846421
497	149343	8847243
498	149681	8849194
499	150008	8850526
500	150349	8852631
501	150650	8852368
502	150974	8853454
503	151274	8853162
504	151546	8851232
505	151852	8851282
506	152111	8848571
507	152407	8848018
508	152697	8847138
509	153000	8847025
510	153304	8846936
511	153606	8846756
512	153898	8846020
513	154157	8843387
514	154424	8841155
515	154682	8838514
516	154955	8836650
517	155303	8839080
518	155571	8836997
519	155828	8834286
520	156125	8833842
521	156389	8831533
522	156656	8829402
523	156961	8829399
524	157252	8828610
525	157509	8825935
526	157772	8823564
527	158090	8824332
528	158355	8822115
529	158652	8821691
530	158961	8821911
531	159255	8821341
532	159557	8821179
533	159861	8821100
534	160150	8820229
535	160411	8817817
536	160699	8816903
537	161002	8816833
538	161267	8814637
539	161565	8814319
540	161872	8814440
541	162169	8814000
542	162430	8811635
543	162697	8809615
544	163008	8809944
545	163321	8810371
546	163623	8810254
547	163858	8806496
548	164124	8804401
549	164390	8802370
550	164679	8801531
551	164982	8801478
552	165246	8799309
553	165584	8801067
554	165955	8804623
555	166275	8805441
556	166569	8804862
557	166885	8805438
558	167178	8804848
559	167467	8803981
560	167734	8802010
561	168053	8802784
562	168354	8802604
563	168642	8801704
564	168940	8801348
565	169254	8801843
566	169553	8801515
567	169847	8800986
568	170160	8801369
569	170470	8801654
570	170791	8802468
571	171133	8804403
572	171517	8808467
573	171882	8811506
574	172227	8813556
575	172529	8813396
576	172801	8811670
577	173099	8811296
578	173408	8811503
579	173704	8811035
580	174013	8811211
581	174320	8811273
582	174589	8809443
583	174855	8807443
584	175150	8806950
585	175422	8805227
586	175683	8803046
587	175990	8803132
588	176257	8801196
589	176565	8801333
590	176904	8802994
591	177172	8801181
592	177408	8797706
593	177698	8796964
594	178008	8797188
595	178338	8798442
596	178688	8800610
597	179014	8801655
598	179319	8801625
599	179564	8798654
600	179807	8795590
601	180102	8795100
602	180383	8793941
603	180688	8793890
604	180964	8792463
605	181233	8790732
606	181548	8791209
607	181783	8787804
608	182098	8788262
609	182374	8786850
610	182658	8785821
611	182999	8787570
612	183268	8785812
613	183535	8783974
614	183843	8784150
615	184100	8781817
616	184423	8782678
617	184716	8782098
618	185080	8784909
619	185438	8787385
620	185712	8785892
621	185983	8784304
622	186292	8784431
623	186564	8782904
624	186795	8779397
625	187099	8779345
626	187407	8779435
627	187714	8779554
628	187983	8777824
629	188253	8776197
630	188520	8774425
631	188826	8774435
632	189126	8774198
633	189404	8772949
634	189665	8770923
635	189932	8769157
636	190228	8768723
637	190521	8768168
638	190791	8766547
639	191081	8765876
640	191358	8764582
641	191660	8764456
642	191975	8764900
643	192280	8764873
644	192574	8764382
645	192883	8764534
646	193215	8765757
647	193493	8764517
648	193797	8764474
649	194133	8765892
650	194438	8765874
651	194735	8765477
652	195003	8763819
653	195232	8760401
654	195538	8760417
655	195839	8760247
656	196126	8759401
657	196432	8759461
658	196697	8757648
659	196996	8757385
660	197304	8757510
661	197599	8757051
662	197854	8754855
663	198113	8752811
664	198427	8753195
665	198646	8749401
666	198971	8750288
667	199266	8749836
668	199556	8749151
669	199845	8748438
670	200143	8748148
671	200434	8747545
672	200750	8747994
673	201050	8747775
674	201331	8746741
675	201614	8745791
676	201916	8745643
677	202175	8743635
678	202468	8743114
679	202732	8741368
680	203026	8740853
681	203324	8740558
682	203618	8740089
683	203906	8739341
684	204174	8737754
685	204459	8736911
686	204729	8735409
687	205032	8735337
688	205299	8733699
689	205586	8732960
690	205853	8731359
691	206138	8730518
692	206432	8730049
693	206685	8727862
694	206995	8728056
695	207292	8727717
696	207517	8724380
697	207783	8722738
698	208039	8720680
699	208336	8720355
700	208585	8718045
701	208894	8718217
702	209160	8716597
703	209424	8714902
704	209684	8713065
705	209976	8712544
706	210233	8710567
707	210459	8707302
708	210726	8705783
709	211030	8705745
710	211336	8705795
711	211634	8705559
712	211891	8703613
713	212146	8701568
714	212432	8700798
715	212691	8698975
716	212973	8698037
717	213275	8697955
718	213569	8697518
719	213876	8697660
720	214139	8695975
721	214437	8695701
722	214734	8695397
723	215034	8695239
724	215301	8693737
725	215562	8691967
726	215875	8692314
727	216162	8691614
728	216461	8691439
729	216751	8690839
730	217049	8690603
731	217300	8688451
732	217588	8687822
733	217885	8687499
734	218201	8687963
735	218488	8687299
736	218788	8687110
737	219073	8686356
738	219302	8683369
739	219594	8682881
740	219894	8682702
741	220160	8681225
742	220459	8681007
743	220758	8680793
744	221064	8680851
